datetime,actual_value,xgboost_forecast,lightgbm_forecast,gradient_boosting_forecast,catboost_forecast,adaboost_forecast,lstm_forecast
2025-12-19 22:00:00,11.06,11.940403,11.18773668748018,12.580469020597572,12.145481723435209,13.12382667810645,11.97
2025-12-19 22:30:00,10.7,11.438997,10.428650387312295,11.159919260914297,11.51328569466986,11.273231737782892,11.93
2025-12-19 23:00:00,10.73,11.33835,9.99038761373421,11.412374738817247,10.801689059572658,10.576270884174416,11.54
2025-12-19 23:30:00,10.56,11.029956,9.679362227679157,10.120494403114382,9.960834963658854,8.38550881057275,11.44
2025-12-20 00:00:00,9.77,10.274374,9.443849746407189,9.654927662602502,10.521881911331068,8.38550881057275,10.68
2025-12-20 00:30:00,9.58,10.370839,9.171149446234086,9.20664265221538,10.485785283843631,8.800452775502588,10.56
2025-12-20 01:00:00,9.45,10.446615,9.326588512641742,9.539981429765373,10.09117889102691,8.800452775502588,10.71
2025-12-20 01:30:00,9.4,10.518592,9.387887892596703,9.25107762428772,10.156356712482497,8.800452775502588,10.71
2025-12-20 02:00:00,9.4,10.549402,9.677536296802982,9.702214412717494,10.312678884033811,8.800452775502588,11.01
2025-12-20 02:30:00,9.35,10.591867,9.541065038566195,9.713445102273914,10.12296361753242,8.800452775502588,10.96
2025-12-20 03:00:00,9.36,10.900581,9.546836990395606,9.504058238144136,10.190050824609711,9.291207996034828,11.15
2025-12-20 03:30:00,9.4,10.616704,9.69927500743989,9.825114187540096,9.72613079017152,9.27528525438898,11.03
2025-12-20 04:00:00,9.44,10.560586,9.678541093542622,9.704560445422365,9.670041101896484,8.800452775502588,11.0
2025-12-20 04:30:00,9.46,10.774883,10.15300675369844,10.068547721327986,9.44079039399891,8.850576968062533,10.9
2025-12-20 05:00:00,9.63,10.993203,9.985199076245872,10.49074442040622,9.693646018540637,8.931392701749362,11.0
2025-12-20 05:30:00,9.57,11.166822,10.181431299672786,11.708023537873938,9.536623821642907,9.923783820866312,11.68
2025-12-20 06:00:00,9.52,11.29424,10.115847018655431,11.86238705848451,9.646759688845618,11.344240612838934,12.14
2025-12-20 06:30:00,9.68,11.905887,11.221282454256814,12.562141020637748,11.203002237296412,13.208895493409887,12.85
2025-12-20 07:00:00,9.75,13.220663,12.219278057384985,12.511937511863358,12.030940785046802,13.47445693785932,13.53
2025-12-20 07:30:00,9.15,12.826956,11.19279106426929,12.087677701439262,12.182765606024562,13.26825176602713,13.13
